# Species	Genes	Alg.-Conn.	com_protein.CCAP.faa	com_protein.Hart1.faa	com_protein.braziliensis.faa	com_protein.donovani.faa	com_protein.grayi.faa	com_protein.hertigi.faa	com_protein.martiniquensis.faa	com_protein.orientalis.faa	com_protein.pyrrhocoris.faa	com_protein.theileri.faa
10	22	0.462	KNH09285.1	CCW65922.1	XP_001565479.1,XP_003723178.1	CBZ34604.1	KEG13712.1	KAG5503550.1,KAG5503551.1	KAG5477865.1,KAG5477866.1	KAG5478102.1,KAG5478103.1	KPA79317.1,KPA79318.1,KPA79319.1,KPA79320.1,KPA79321.1,KPA79322.1,KPA79324.1,KPA79325.1	ORC88855.1,ORC88856.1
10	22	0.449	KNH09297.1	CCW68202.1,CCW68710.1	XP_001566134.1,XP_001566985.1	CBZ35510.1,CBZ36386.1	KEG09252.1,KEG15467.1	KAG5498862.1,KAG5500423.1	KAG5472581.1,KAG5474335.1	KAG5472965.1,KAG5474666.1	KPA83512.1,KPA83513.1,KPA83514.1,KPA85430.1,KPA85431.1	ORC89705.1,ORC90694.1
10	22	0.415	KNH06818.1	CCW70325.1,CCW70326.1	XP_001564834.1,XP_001564835.1	CBZ33942.1,CBZ33943.1	KEG15522.1	KAG5505757.1,KAG5505758.1	KAG5479444.1,KAG5479445.1	KAG5479830.1,KAG5479831.1	KPA78272.1,KPA78273.1,KPA78274.1,KPA78275.1,KPA78276.1,KPA78277.1	ORC89491.1,ORC89492.1
10	21	0.682	KNH04707.1,KNH06712.1	CCW67623.1,CCW70925.1	XP_001564328.1,XP_001565620.1	CBZ34752.1,CBZ37529.1	KEG09402.1,KEG15656.1	KAG5493809.1,KAG5502850.1	KAG5468129.1,KAG5476989.1	KAG5467724.1,KAG5477253.1	KPA79576.1,KPA82037.1,KPA82038.1	ORC85738.1,ORC93267.1
10	21	0.539	KNH09224.1	CCW70740.1	XP_001562456.1,XP_001562457.1	CBZ35122.1,CBZ35123.1	KEG08440.1	KAG5502013.1,KAG5502014.1	KAG5476534.1,KAG5476535.1	KAG5476261.1,KAG5476262.1	KPA74096.1,KPA74097.1,KPA74098.1,KPA74099.1,KPA74100.1,KPA74101.1,KPA74102.1	ORC92813.1
10	21	0.527	KNH04974.1	CCW68179.1,CCW70324.1	XP_001564833.1,XP_001566962.1	CBZ33941.1	KEG15492.1,KEG15523.1	KAG5498837.1,KAG5505756.1	KAG5472556.1,KAG5479443.1	KAG5472937.1,KAG5479829.1	KPA78270.1,KPA78271.1,KPA83474.1,KPA83475.1,KPA83476.1	ORC89490.1,ORC90721.1
10	21	0.113	KNH08156.1	CCW69851.1	XP_001567206.1,XP_001567208.1,XP_001567221.1,XP_001567956.1,XP_001567978.1	CBZ36606.1,CBZ37314.1	KEG12097.1	KAG5497656.1,KAG5495133.1	KAG5471408.1,KAG5471420.1,KAG5469442.1	KAG5469084.1,KAG5471740.1,KAG5471754.1	KPA78795.1,KPA81176.1	ORC90623.1
10	20	0.412	KNH06957.1,KNH08427.1	CCW69063.1	XP_001561866.1	CBZ31514.1	KEG08997.1	KAG5511413.1,KAG5511414.1,KAG5511415.1,KAG5511424.1	KAG5487055.1,KAG5487056.1,KAG5487057.1	KAG5487609.1,KAG5487610.1,KAG5487611.1	KPA80822.1,KPA80823.1,KPA80824.1	ORC85035.1
10	19	0.626	KNH04017.1,KNH08558.1	CCW68166.1,CCW68752.1	XP_001566088.1,XP_001566948.1	CBZ35462.1,CBZ36345.1	KEG14494.1,KEG08560.1	KAG5498822.1,KAG5500379.1	KAG5474286.1	KAG5474618.1	KPA83444.1,KPA85503.1,KPA85504.1	ORC90737.1,ORC89755.1
10	19	0.597	KNH09232.1	CCW69398.1	XP_001564787.1,XP_001568292.1	CBZ33891.1,CBZ38092.1	KEG12088.1,KEG12786.1	KAG5492604.1,KAG5505713.1	KAG5466768.1,KAG5479400.1	KAG5466222.1,KAG5479784.1	KPA78204.1,KPA86119.1,KPA86120.1	ORC89439.1,ORC92324.1
10	19	0.507	KNH01779.1	CCW67254.1,CCW66507.1	XP_001561682.1,XP_001564515.1	CBZ37739.1	KEG14134.1	KAG5494013.1	KAG5468321.1,KAG5473938.1	KAG5467922.1,KAG5473660.1,KAG5486786.1	KPA80723.1,KPA80724.1,KPA80725.1,KPA82352.1	ORC93678.1,ORC93399.1
10	19	0.349	KNH05339.1,KNH09108.1	CCW69501.1	XP_001568425.1,XP_001568426.1	CBZ38233.1,CBZ38234.1	KEG07879.1	KAG5492749.1,KAG5492750.1	KAG5466910.1,KAG5466911.1	KAG5466369.1,KAG5466370.1	KPA86372.1,KPA86373.1,KPA86374.1	ORC92134.1,ORC92135.1
10	19	0.298	KNH03608.1,KNH04177.1	CCW66340.1,CCW68555.1	XP_001565059.1,XP_001565063.1	CBZ34178.1	KEG12026.1,KEG14780.1	KAG5505025.1,KAG5505029.1	KAG5479139.1,KAG5479143.1	KAG5479303.1,KAG5479307.1	KPA85808.1,KPA85815.1	ORC86973.1,ORC88022.1
10	19	0.148	KNH07116.1	CCW69840.1	XP_001563556.1,XP_001563558.1	CBZ32928.1	KEG06018.1	KAG5509134.1,KAG5509135.1,KAG5509137.1	KAG5482911.1,KAG5482914.1,KAG5482912.1	KAG5483066.1,KAG5483070.1,KAG5483068.1	KPA75095.1,KPA75096.1	ORC77346.1,ORC88173.1
10	18	0.573	KNH09685.1	CCW66104.1,CCW70543.1	XP_001565272.1,XP_001567408.1	CBZ34392.1	KEG06434.1	KAG5493009.1,KAG5496101.1	KAG5470437.1,KAG5477659.1	KAG5470012.1,KAG5477895.1	KPA78993.1,KPA78994.1,KPA84538.1	ORC84623.1,ORC92537.1
10	18	0.555	KNH08151.1	CCW71517.1	XP_001564147.1,XP_001564148.1	CBZ33492.1	KEG06816.1	KAG5506994.1,KAG5506995.1	KAG5480504.1,KAG5480505.1	KAG5480833.1,KAG5480834.1	KPA82629.1,KPA82630.1,KPA82632.1,KPA82633.1	ORC92511.1,ORC92512.1
10	18	0.546	KNH04191.1,KNH07398.1	CCW67916.1,CCW67917.1	XP_001562396.1,XP_001562397.1	CBZ35049.1,CBZ35050.1	KEG10287.1	KAG5501924.1,KAG5501925.1	KAG5476465.1,KAG5476466.1	KAG5476190.1,KAG5476191.1	KPA86953.1,KPA86954.1	ORC87505.1
10	18	0.535	KNH01783.1	CCW70227.1	XP_001562250.1,XP_001562251.1	CBZ34905.1	KEG12231.1	KAG5501775.1,KAG5501776.1,KAG5501777.1,KAG5501778.1	KAG5476320.1,KAG5476321.1	KAG5476043.1,KAG5476044.1	KPA86714.1,KPA86715.1	ORC87673.1,ORC87674.1
10	18	0.427	KNH04774.1	CCW71967.1	XP_001567071.1	CBZ36459.1	KEG09108.1	KAG5497529.1	KAG5471283.1	KAG5471592.1	KPA73913.1,KPA73914.1,KPA73916.1,KPA73917.1,KPA73918.1,KPA73919.1,KPA73921.1,KPA73922.1,KPA73923.1	ORC84784.1
10	18	0.414	KNH08332.1	CCW70586.1	XP_001567454.1,XP_001568173.2	CBZ37966.1	KEG13458.1	KAG5492480.1,KAG5496148.1	KAG5466645.1,KAG5470486.1	KAG5466093.1,KAG5470064.1	KPA84603.1,KPA84604.1,KPA85921.1,KPA85922.1,KPA85923.1	ORC88407.1
10	18	0.133	KNH08444.1	CCW71418.1	XP_001564478.1,XP_001562779.1	CBZ37701.1	KEG13238.1,KEG12916.1	KAG5488345.1,KAG5493981.1	KAG5468287.1,KAG5484932.1	KAG5467887.1,KAG5485594.1	KPA75857.1,KPA82306.1,KPA82307.1	ORC93642.1,ORC86811.1
10	18	0.127	KNH08946.1	CCW72083.1	XP_001562542.1,XP_001562541.1	CBZ31736.1,CBZ31737.1	KEG12180.1	KAG5510906.1,KAG5510907.1	KAG5486182.1,KAG5486181.1	KAG5486836.1,KAG5486835.1	KPA74345.1,KPA74346.1,KPA74347.1,KPA74348.1	ORC86534.1
10	17	0.616	KNH05013.1	CCW71061.1	XP_001565909.1,XP_001565910.1	CBZ35406.1	KEG07387.1	KAG5501491.1,KAG5501492.1	KAG5475374.1,KAG5475375.1	KAG5475633.1,KAG5475634.1	KPA80974.1,KPA80975.1,KPA80976.1	ORC91733.1,ORC91734.1
10	17	0.539	KNH08443.1	CCW67571.1	XP_001561736.1,XP_001564923.1	CBZ34037.1	KEG13391.1	KAG5504886.1,KAG5511643.1	KAG5479007.1,KAG5487481.1	KAG5479160.1,KAG5487826.1	KPA81934.1,KPA81935.1,KPA81936.1,KPA81937.1	ORC77503.1
10	17	0.51	KNH09223.1	CCW70195.1	XP_001562295.1,XP_001562297.1	CBZ34950.1	KEG06538.1	KAG5501818.1,KAG5501820.1	KAG5476365.1,KAG5476367.1	KAG5476087.1,KAG5476089.1	KPA86780.1,KPA86782.1	ORC87626.1,ORC87628.1,ORC87630.1
10	17	0.476	KNH09394.1	CCW66763.1	XP_001563293.1,XP_001568115.1	CBZ32640.1,CBZ37479.1	KEG10552.1	KAG5495288.1,KAG5509655.1	KAG5469608.1,KAG5484132.1	KAG5469256.1,KAG5484434.1	KPA76328.1,KPA84459.1,KPA84460.1	ORC84915.1
10	17	0.453	KNH07561.1	CCW71534.1	XP_001564167.1,XP_001568106.1	CBZ37471.1	KEG10181.1	KAG5495280.1,KAG5507013.1	KAG5469599.1,KAG5480525.1	KAG5469246.1,KAG5480854.1	KPA82656.1,KPA82657.1,KPA84438.1,KPA84439.1	ORC87282.1
10	16	0.633	KNH07797.1	CCW71308.1	XP_001561487.1,XP_001561488.1	CBZ31131.1	KEG11691.1	KAG5512299.1,KAG5512300.1	KAG5488115.1,KAG5488116.1	KAG5488263.1,KAG5488264.1	KPA73698.1,KPA73699.1	ORC91208.1,ORC91209.1
10	16	0.602	KNH09260.1	CCW66440.1,CCW71708.1	XP_001563651.1,XP_001564604.1	CBZ37821.1	KEG14197.1	KAG5508748.1	KAG5468412.1,KAG5481969.1	KAG5468005.1,KAG5482328.1	KPA82466.1,KPA82467.1	ORC91804.1,ORC93776.1
10	16	0.594	KNH08368.1	CCW68564.1	XP_001566321.1	CBZ35700.1	KEG08934.1	KAG5500608.1,KAG5500609.1	KAG5474522.1,KAG5474523.1	KAG5474863.1,KAG5474864.1	KPA85111.1,KPA85112.1,KPA85113.1,KPA85114.1	ORC86986.1
10	16	0.59	KNH07463.1	CCW72037.1	XP_001563480.1,XP_001563481.1	CBZ32850.1	KEG05370.1	KAG5509062.1,KAG5509063.1	KAG5482810.1,KAG5482811.1	KAG5482989.1,KAG5482990.1	KPA73308.1,KPA73309.1	ORC88075.1,ORC88076.1
10	16	0.521	KNH09047.1,KNH06793.1	CCW70545.1	XP_001567234.1	CBZ36620.1	KEG09188.1	KAG5497673.1	KAG5471434.1	KAG5471769.1	KPA78724.1,KPA78725.1,KPA78726.1,KPA78727.1,KPA78728.1,KPA78729.1	ORC86208.1
10	16	0.481	KNH07209.1	CCW71008.1	XP_001565674.1,XP_001565675.1	CBZ34852.1	KEG13248.1	KAG5502951.1,KAG5502952.1	KAG5477089.1,KAG5477090.1	KAG5477353.1,KAG5477354.1	KPA79739.1,KPA79740.1,KPA79741.1	ORC89595.1
10	16	0.437	KNH08061.1	CCW66695.1	XP_001562716.1	CBZ32061.1	KEG07614.1	KAG5510578.1	KAG5485531.1	KAG5486080.1	KPA77611.1,KPA77612.1,KPA77613.1,KPA77614.1,KPA77615.1,KPA77616.1,KPA77617.1	ORC84288.1
10	16	0.343	KNH07934.1,KNH08475.1	CCW71396.1	XP_001562833.1	CBZ32174.1	KEG11909.1	KAG5510286.1	KAG5484969.1	KAG5485640.1	KPA75960.1,KPA75961.1,KPA75962.1,KPA75963.1,KPA75964.1,KPA75965.1	ORC86857.1
10	15	0.609	KNH00544.1,KNH04797.1	CCW68466.1	XP_001564912.1	CBZ31954.1	KEG08058.1	KAG5510848.1,KAG5510862.1	KAG5485829.1,KAG5485835.1	KAG5486510.1	KPA74623.1,KPA74624.1,KPA74625.1	ORC82976.1
10	15	0.57	KNH04281.1,KNH08915.1	CCW68778.1	XP_001566056.1	CBZ35428.1	KEG07606.1	KAG5500346.1	KAG5474253.1	KAG5474583.1	KPA85552.1,KPA85553.1,KPA85554.1,KPA85555.1,KPA85556.1	ORC88649.1
10	15	0.551	KNH07520.1	CCW66775.1	XP_001563242.1	CBZ32611.1	KEG09602.1	KAG5509603.1	KAG5484080.1,KAG5484081.1	KAG5484386.1,KAG5484387.1	KPA76404.1,KPA76405.1,KPA76406.1	ORC86068.1,ORC86069.1
10	15	0.481	KNH04245.1	CCW66014.1	XP_001565388.1	CBZ34513.1	KEG05759.1	KAG5503463.1	KAG5477775.1	KAG5478013.1	KPA79170.1,KPA79171.1,KPA79172.1,KPA79173.1,KPA79174.1,KPA79175.1	ORC88722.1
10	15	0.409	KNH05451.1	CCW67759.1	XP_001567672.1,XP_001567673.1	CBZ37039.1	KEG08759.1	KAG5496357.1	KAG5470702.1,KAG5470703.1,KAG5470704.1	KAG5470286.1,KAG5470287.1	KPA84913.1	ORC87377.1,ORC87378.1
10	15	0.4	KNH08154.1	CCW71559.1	XP_001564198.1	CBZ33542.1	KEG08842.1	KAG5507043.1	KAG5480557.1	KAG5480884.1	KPA82708.1,KPA82711.1,KPA82712.1,KPA82716.1,KPA82719.1,KPA82720.1	ORC92463.1
10	15	0.393	KNH09406.1	CCW68751.1	XP_001566089.1	CBZ35463.1	KEG14495.1	KAG5500380.1	KAG5474287.1	KAG5474619.1	KPA85497.1,KPA85498.1,KPA85499.1,KPA85500.1,KPA85501.1,KPA85502.1	ORC89754.1
10	15	0.386	KNH04203.1	CCW69240.1	XP_001569033.1,XP_001569034.1	CBZ38847.1	KEG07596.1	KAG5490283.1	KAG5464239.1	KAG5464974.1	KPA81412.1,KPA81413.1,KPA81414.1,KPA81415.1,KPA81416.1	ORC91474.1
10	15	0.323	KNH08319.1	CCW70924.1	XP_001565619.1	CBZ34751.1	KEG09403.1	KAG5502848.1,KAG5502849.1	KAG5476987.1,KAG5476988.1	KAG5477252.1	KPA79572.1,KPA79573.1,KPA79574.1,KPA79575.1	ORC85737.1
10	14	0.608	KNH06967.1,KNH08269.1	CCW66342.1	XP_001565061.2	CBZ34180.1	KEG12024.1	KAG5505027.1	KAG5479141.1	KAG5479305.1	KPA85810.1,KPA85811.1,KPA85812.1,KPA85813.1	ORC88024.1
10	14	0.607	KNH04289.1,KNH08923.1	CCW72281.1	XP_001565844.1	CBZ35221.1	KEG06336.1	KAG5501425.1	KAG5475306.1	KAG5475566.1	KPA80880.1,KPA80881.1,KPA80882.1,KPA80883.1	ORC86600.1
10	14	0.594	KNH07119.1	CCW68655.1	XP_001566220.1	CBZ35590.1	KEG11805.1	KAG5500502.1	KAG5474417.1	KAG5474750.1	KPA85288.1,KPA85289.1,KPA85290.1,KPA85291.1,KPA85292.1	ORC87105.1
10	14	0.577	KNH09764.1	CCW68809.1,CCW68810.1	XP_001568143.1	CBZ37935.1	KEG11993.1	KAG5492449.1	KAG5466617.1	KAG5466066.1	KPA85869.1,KPA85870.1,KPA85871.1	ORC84707.1,ORC84708.1
10	14	0.552	KNH05760.1	CCW66328.1	XP_001565047.1	CBZ34167.1	KEG11249.1	KAG5505014.1	KAG5479128.1	KAG5479292.1	KPA85791.1,KPA85792.1,KPA85793.1	ORC88005.1,ORC88006.1,ORC88007.1
10	14	0.542	KNH06085.1	CCW68791.1	XP_001562199.1	CBZ38438.1	KEG11772.1	KAG5492427.1	KAG5466595.1	KAG5466044.1	KPA85838.1,KPA85839.1,KPA85840.1,KPA85841.1,KPA85842.1	ORC92589.1
10	14	0.533	KNH04288.1,KNH08922.1	CCW71827.1	XP_001564741.1	CBZ33841.1	KEG05579.1	KAG5505664.1	KAG5479346.1	KAG5479728.1,KAG5479729.1	KPA78135.1,KPA78136.1,KPA78134.1	ORC89359.1
10	14	0.524	KNH03859.1	CCW68261.1	XP_001565108.1	CBZ34233.1	KEG07589.1	KAG5504347.1	KAG5478625.1	KAG5478413.1	KPA84098.1,KPA84099.1,KPA84100.1,KPA84101.1,KPA84102.1	ORC89287.1
10	14	0.523	KNH04172.1,KNH03613.1	CCW71150.1	XP_001565780.1	CBZ35179.1	KEG14497.1	KAG5501372.1	KAG5475253.1	KAG5475511.1	KPA73530.1,KPA73531.1,KPA73532.1,KPA73533.1	ORC85667.1
10	14	0.482	KNH03775.1	CCW70276.1	XP_001563113.2	CBZ32463.1	KEG06131.1	KAG5509865.1,KAG5509864.1	KAG5484501.1	KAG5484887.1	KPA75733.1,KPA75734.1,KPA75737.1,KPA75738.1	ORC85857.1
10	14	0.459	KNH08129.1	CCW71332.1	XP_001561513.1	CBZ31166.1	KEG14530.1	KAG5512328.1,KAG5512329.1	KAG5488146.1,KAG5488147.1	KAG5488297.1,KAG5488298.1	KPA73781.1,KPA73782.1	ORC91171.1
10	14	0.401	KNH09410.1	CCW67448.1	XP_001566385.1	CBZ35768.1	KEG14906.1	KAG5490514.1	KAG5473703.1	KAG5473420.1	KPA80322.1,KPA80323.1,KPA80324.1,KPA80325.1,KPA80326.1	ORC90097.1
10	14	0.349	KNH06204.1	CCW71916.1	XP_001568193.1	CBZ37989.1	KEG09932.1	KAG5492498.1	KAG5466666.1	KAG5466114.1	KPA85953.1,KPA85954.1,KPA85955.1,KPA85956.1	ORC84663.1,ORC84662.1
10	14	0.186	KNH04246.1	CCW66778.1	XP_001563238.1	CBZ32607.1	KEG07178.1	KAG5509599.1,KAG5509608.1	KAG5484076.1	KAG5484382.1	KPA76416.1,KPA76417.1,KPA76418.1,KPA76419.1	ORC86075.1
10	14	0.148	KNH04176.1,KNH03609.1	CCW66843.1	XP_001563170.1	CBZ32527.1	KEG10947.1,KEG10946.1	KAG5509531.1	KAG5484006.1	KAG5484311.1	KPA76534.1,KPA76535.1	ORC86181.1,ORC86182.1
10	13	0.66	KNH05340.1,KNH09109.1	CCW71245.1	XP_001561949.1	CBZ31598.1	KEG08106.1	KAG5511144.1	KAG5486672.1	KAG5487223.1	KPA83586.1,KPA83587.1,KPA83588.1	ORC84843.1
10	13	0.659	KNH08672.1	CCW66077.1	XP_001565308.1	CBZ34430.1	KEG12470.1	KAG5492966.1,KAG5492970.1,KAG5503399.1	KAG5477697.1	KAG5477934.1	KPA79048.1,KPA79049.1	ORC84584.1
10	13	0.653	KNH05064.1,KNH06684.1	CCW69803.1	XP_001563323.1	CBZ32691.1	KEG07436.1	KAG5509366.1	KAG5483290.1	KAG5483705.1	KPA77182.1,KPA77183.1,KPA77184.1	ORC86347.1
10	13	0.639	KNH09603.1	CCW69029.1	XP_001561833.2	CBZ31481.1	KEG07986.1	KAG5511384.1	KAG5487027.1	KAG5487577.1	KPA80763.1,KPA80764.1,KPA80765.1,KPA80766.1	ORC91135.1
10	13	0.625	KNH09277.1	CCW71040.1	XP_001565932.1	CBZ35310.1	KEG11456.1	KAG5501513.1	KAG5475397.1	KAG5475656.1	KPA81012.1,KPA81013.1,KPA81014.1,KPA81015.1	ORC91756.1
10	13	0.621	KNH05376.1,KNH05725.1	CCW69267.1	XP_001569000.1	CBZ38811.1	KEG12861.1	KAG5490247.1	KAG5464203.1	KAG5464937.1	KPA81365.1,KPA81366.1,KPA81367.1	ORC91429.1
10	13	0.605	KNH04704.1,KNH06709.1	CCW71794.1	XP_001564781.1	CBZ33883.1	KEG12079.1	KAG5505703.1	KAG5479390.1	KAG5479774.1	KPA78192.1,KPA78193.1,KPA78194.1	ORC89430.1
10	13	0.549	KNH04571.1,KNH05896.1	CCW67434.1	XP_001566412.2	CBZ35791.1	KEG10257.1	KAG5490493.1	KAG5473721.1	KAG5473440.1	KPA80374.1,KPA80375.1,KPA80376.1	ORC90118.1
10	13	0.541	KNH04067.1	CCW68365.1	XP_001563018.1	CBZ32368.1	KEG10487.1	KAG5510154.1	KAG5484786.1	KAG5485409.1	KPA77072.1,KPA77073.1,KPA77074.1,KPA77075.1	ORC88499.1
10	13	0.54	KNH04185.1	CCW65990.1	XP_001565400.1	CBZ34545.1	KEG09095.1	KAG5503495.1,KAG5503496.1	KAG5477807.1	KAG5478045.1,KAG5478046.1	KPA79229.1	ORC88779.1,ORC88780.1
10	13	0.531	KNH04297.1,KNH08931.1	CCW72262.1	XP_001568286.1	CBZ38087.1	KEG14393.1	KAG5492593.1	KAG5466760.1	KAG5466214.1	KPA86106.1,KPA86107.1,KPA86108.1	ORC92319.1
10	13	0.524	KNH09115.1	CCW67547.1	XP_001561758.1	CBZ31415.1	KEG07327.1	KAG5511671.1,KAG5511672.1	KAG5487512.1	KAG5487854.1,KAG5487855.1	KPA75563.1,KPA75564.1	ORC85405.1
10	13	0.495	KNH07747.1	CCW67973.1	XP_001566704.1	CBZ36087.1	KEG09376.1	KAG5498574.1	KAG5472285.1	KAG5472664.1	KPA83045.1,KPA83046.1,KPA83047.1,KPA83048.1	ORC91017.1
10	13	0.493	KNH09458.1	CCW71280.1	XP_001561455.1	CBZ31098.1	KEG10163.1	KAG5512268.1	KAG5488084.1	KAG5488231.1	KPA73152.1,KPA73153.1,KPA73154.1,KPA73155.1	ORC91241.1
10	13	0.481	KNH09597.1	CCW68195.1	XP_001566978.1	CBZ36377.1	KEG15474.1	KAG5498854.1,KAG5498855.1	KAG5472574.1	KAG5472956.1,KAG5472958.1	KPA83498.1,KPA83499.1	ORC90701.1
10	13	0.479	KNH08032.1	CCW67029.1	XP_001568761.2	CBZ38570.1	KEG07039.1	KAG5489998.1	KAG5463955.1	KAG5464687.1,KAG5464688.1,KAG5464689.1	KPA80027.1,KPA80028.1	ORC93083.1
10	13	0.44	KNH04460.1	CCW71055.1	XP_001565917.1	CBZ35295.1	KEG09375.1	KAG5501499.1,KAG5501500.1	KAG5475382.1	KAG5475641.1	KPA80985.1,KPA80986.1,KPA80987.1	ORC91742.1
10	13	0.413	KNH03652.1	CCW67240.1	XP_001564699.2	CBZ33645.1	KEG09716.1	KAG5506378.1,KAG5506379.1	KAG5479935.1	KAG5480317.1,KAG5480318.1	KPA75420.1,KPA75421.1	ORC76993.1
10	13	0.352	KNH05061.1,KNH06687.1	CCW68841.1	XP_001561679.1	CBZ31339.1	KEG14731.1	KAG5511960.1	KAG5487770.1	KAG5488072.1	KPA73454.1,KPA73455.1,KPA73456.1	ORC93398.1
10	13	0.171	KNH04834.1	CCW70771.1	XP_001562486.1	CBZ35154.1	KEG12566.1	KAG5502045.1	KAG5476565.1	KAG5476293.1	KPA74049.1,KPA74050.1,KPA74051.1,KPA74052.1	ORC92781.1
10	13	0.101	KNH06956.1,KNH08426.1	CCW67022.1	XP_001568769.1	CBZ38579.1	KEG08469.1	KAG5490005.1	KAG5463961.1	KAG5464696.1	KPA80039.1,KPA80040.1,KPA80041.1	ORC93069.1
